,CO_MUNICIPIO_IBGE,MUNICIPIO,Valor Liquido
141,410970, IBAITI ,8446957.68
142,410975, IBEMA ,946639.68
143,410980, IBIPORA ,10125659.56
144,410990, ICARAIMA ,4133798.45
145,411000, IGUARACU ,1276325.22
146,411005, IGUATU ,833462.4
147,411007, IMBAU ,2497439.06
148,411010, IMBITUVA ,5029663.77
149,411020, INACIO MARTINS ,3068333.22
150,411030, INAJA ,1024220.49
151,411040, INDIANOPOLIS ,1662011.91
152,411050, IPIRANGA ,4186737.82
153,411060, IPORA ,4002474.75
154,411065, IRACEMA DO OESTE ,657491.98
155,411070, IRATI ,6108972.63
156,411080, IRETAMA ,3410606.83
157,411090, ITAGUAJE ,1594802.85
158,411095, ITAIPULANDIA ,2320226.36
159,411100, ITAMBARACA ,1140661.04
160,411110, ITAMBE ,1624010.2
161,411120, ITAPEJARA D OESTE ,5059154.43
162,411125, ITAPERUCU ,4172171.19
163,411130, ITAUNA DO SUL ,1842160.72
164,411140, IVAI ,2753776.44
165,411150, IVAIPORA ,8481405.12
166,411155, IVATE ,3620816.21
167,411160, IVATUBA ,983217.02
168,411170, JABOTI ,1446422.75
169,411180, JACAREZINHO ,6612261.66
170,411190, JAGUAPITA ,2943034.41
171,411200, JAGUARIAIVA ,5703617.15
172,411210, JANDAIA DO SUL ,4091154.08
173,411220, JANIOPOLIS ,1950649.38
174,411230, JAPIRA ,1888624.84
175,411240, JAPURA ,3066916.58
176,411250, JARDIM ALEGRE ,3348460.4
177,411260, JARDIM OLINDA ,702599.7
178,411270, JATAIZINHO ,1899121.99
179,411275, JESUITAS ,2418492.42
180,411280, JOAQUIM TAVORA ,1670696.4
181,411290, JUNDIAI DO SUL ,997629.46
182,411295, JURANDA ,3126885.33
183,411300, JUSSARA ,1807578.86
184,411310, KALORE ,1893992.26
185,411320, LAPA ,9619529.77
186,411325, LARANJAL ,2438593.98
187,411330, LARANJEIRAS DO SUL ,11012690.45
188,411340, LEOPOLIS ,750156.05
189,411342, LIDIANOPOLIS ,1148185.88
190,411345, LINDOESTE ,1187112.96
191,411350, LOANDA ,7011889.94
192,411360, LOBATO ,1103899.62
193,411370, LONDRINA ,323045279.1
194,411373, LUIZIANA ,2007518.71
195,411375, LUNARDELLI ,1563750.3
196,411380, LUPIONOPOLIS ,1393012.08
197,411390, MALLET ,2956273.66
198,411400, MAMBORE ,14484935.91
199,411410, MANDAGUACU ,4222401.35
200,411420, MANDAGUARI ,10167177.62
201,411430, MANDIRITUBA ,3570387.8
202,411435, MANFRINOPOLIS ,1281280.78
203,411440, MANGUEIRINHA ,7268314.64
204,411450, MANOEL RIBAS ,3465981.27
205,411460, MARECHAL CANDIDO RONDON ,8984927.25
206,411470, MARIA HELENA ,2319996.81
207,411480, MARIALVA ,6910761.46
208,411490, MARILANDIA DO SUL ,2844054.61
209,411500, MARILENA ,2767121.64
210,411510, MARILUZ ,3009407.36
211,411520, MARINGA ,232956622.3
212,411530, MARIOPOLIS ,2017285.82
213,411535, MARIPA ,1073483.96
214,411540, MARMELEIRO ,5234884.44
215,411545, MARQUINHO ,1784133.64
216,411550, MARUMBI ,2057011.97
217,411560, MATELANDIA ,3386258.7
218,411570, MATINHOS ,4973899.24
219,411573, MATO RICO ,1310970.57
220,411575, MAUA DA SERRA ,3106745.36
221,411580, MEDIANEIRA ,7741264.87
222,411585, MERCEDES ,1587731.22
223,411590, MIRADOR ,618060.37
224,411600, MIRASELVA ,466645.09
225,411605, MISSAL ,2763918.52
226,411610, MOREIRA SALES ,4642179.53
227,411620, MORRETES ,4996955.98
228,411630, MUNHOZ DE MELO ,1209348.9
229,411640, NOSSA SENHORA DAS GRACAS ,1283327.22
230,411650, NOVA ALIANCA DO IVAI ,769648.18
231,411660, NOVA AMERICA DA COLINA ,1678139.49
232,411670, NOVA AURORA ,2827299.16
233,411680, NOVA CANTU ,2269322.45
234,411690, NOVA ESPERANCA ,5552630.68
235,411695, NOVA ESPERANCA DO SUDOESTE ,2141228.95
236,411700, NOVA FATIMA ,1691644.64
237,411705, NOVA LARANJEIRAS ,3378382.46
238,411710, NOVA LONDRINA ,5068327.24
239,411720, NOVA OLIMPIA ,2421411.37
240,411725, NOVA PRATA DO IGUACU ,2473091.05
241,411721, NOVA SANTA BARBARA ,1181458.73
242,411722, NOVA SANTA ROSA ,1689789.5
243,411727, NOVA TEBAS ,3681037.14
244,411729, NOVO ITACOLOMI ,1021685.99
245,411730, ORTIGUEIRA ,4520252.48
246,411740, OURIZONA ,764262.53
247,411745, OURO VERDE DO OESTE ,1048254.98
248,411750, PAICANDU ,6103844.27
249,411760, PALMAS ,8637185.08
250,411770, PALMEIRA ,5793563.75
251,411780, PALMITAL ,4785222.71
252,411790, PALOTINA ,7894590.33
253,411800, PARAISO DO NORTE ,4111826.92
254,411810, PARANACITY ,1696417.67
255,411820, PARANAGUA ,14994382.94
256,411830, PARANAPOEMA ,1055541.33
257,411840, PARANAVAI ,14943754.44
258,411845, PATO BRAGADO ,1798580.98
259,411850, PATO BRANCO ,80942958.64
260,411860, PAULA FREITAS ,2079792.7
261,411870, PAULO FRONTIN ,2511555.81
262,411880, PEABIRU ,2705270.55
263,411885, PEROBAL ,2369540.84
264,411890, PEROLA ,5909920.1
265,411900, PEROLA D OESTE ,2117965.83
266,411910, PIEN ,5574015.9
267,411915, PINHAIS ,16516588.99
268,411925, PINHAL DE SAO BENTO ,1106443.2
269,411920, PINHALAO ,1974094.95
270,411930, PINHAO ,6254653.08
271,411940, PIRAI DO SUL ,6343071
272,411950, PIRAQUARA ,11504395.86
273,411960, PITANGA ,5847775.75
274,411965, PITANGUEIRAS ,734223.68
275,411970, PLANALTINA DO PARANA ,1395542.74
276,411980, PLANALTO ,4496988.17
277,411990, PONTA GROSSA ,39693447.83
278,411995, PONTAL DO PARANA ,2335644.13
279,412000, PORECATU ,2222875.38
280,412010, PORTO AMAZONAS ,728713.31
281,412015, PORTO BARREIRO ,1016879.32
282,412020, PORTO RICO ,854337.91
283,412030, PORTO VITORIA ,1187334.2
284,412033, PRADO FERREIRA ,929264.45
285,412035, PRANCHITA ,1424360.57
286,412040, PRESIDENTE CASTELO BRANCO ,1025668.64
287,412050, PRIMEIRO DE MAIO ,2004608.38
288,412060, PRUDENTOPOLIS ,8056735.37
289,412065, QUARTO CENTENARIO ,1760503.58
290,412070, QUATIGUA ,2077587.33
291,412080, QUATRO BARRAS ,4536964.3
292,412085, QUATRO PONTES ,1085868.35
293,412090, QUEDAS DO IGUACU ,9397033.26
294,412100, QUERENCIA DO NORTE ,4640611.44
295,412110, QUINTA DO SOL ,2554701.52
296,412120, QUITANDINHA ,3159556.24
297,412125, RAMILANDIA ,2550748.81
298,412130, RANCHO ALEGRE ,1477980.01
299,412135, RANCHO ALEGRE D OESTE ,1076881.05
300,412140, REALEZA ,5005728.52
301,412150, REBOUCAS ,4265795.38
302,412160, RENASCENCA ,2753431.61
303,412170, RESERVA ,5736309.67
304,412175, RESERVA DO IGUACU ,2279149.64
305,412180, RIBEIRAO CLARO ,1332066.19
306,412190, RIBEIRAO DO PINHAL ,2214850.77
307,412200, RIO AZUL ,4298761.58
308,412210, RIO BOM ,1920241.13
309,412215, RIO BONITO DO IGUACU ,3121670.77
310,412217, RIO BRANCO DO IVAI ,1757912.67
311,412220, RIO BRANCO DO SUL ,6175503.05
312,412230, RIO NEGRO ,5974885.88
313,412240, ROLANDIA ,10928195.67
314,412250, RONCADOR ,2021814.05
315,412260, RONDON ,2972242.79
316,412265, ROSARIO DO IVAI ,1867763.06
317,412270, SABAUDIA ,1745706.84
318,412280, SALGADO FILHO ,1765500.5
319,412290, SALTO DO ITARARE ,1584227.65
320,412300, SALTO DO LONTRA ,2623638.28
321,412310, SANTA AMELIA ,417267.22
322,412320, SANTA CECILIA DO PAVAO ,2074869.52
323,412330, SANTA CRUZ DE MONTE CASTELO ,3289381.04
324,412340, SANTA FE ,2269402.11
325,412350, SANTA HELENA ,7666617.06
326,412360, SANTA INES ,882665.27
327,412370, SANTA ISABEL DO IVAI ,2003562.08
328,412380, SANTA IZABEL DO OESTE ,4023757.16
329,412382, SANTA LUCIA ,1569162.48
330,412385, SANTA MARIA DO OESTE ,3706136.85
331,412390, SANTA MARIANA ,3090847.34
332,412395, SANTA MONICA ,1207570.63
333,412402, SANTA TEREZA DO OESTE ,3166872.59
334,412405, SANTA TEREZINHA DE ITAIPU ,5090265.87
335,412400, SANTANA DO ITARARE ,2664328.76
336,412410, SANTO ANTONIO DA PLATINA ,4849855.89
337,412420, SANTO ANTONIO DO CAIUA ,1111770.96
338,412430, SANTO ANTONIO DO PARAISO ,846478.39
339,412440, SANTO ANTONIO DO SUDOESTE ,10233834.14
340,412450, SANTO INACIO ,1600784.48
341,412460, SAO CARLOS DO IVAI ,1868031.35
342,412470, SAO JERONIMO DA SERRA ,3290044.44
343,412480, SAO JOAO ,3728195.16
344,412490, SAO JOAO DO CAIUA ,1383304.62
345,412500, SAO JOAO DO IVAI ,3613166.8
